OID_,id,subward,ward,district,Building Diversity,Population Density,Microclimate,UNIQUE,Heat Stress,Connectivity,Integration,Built Density
207,361,Kurasini,Kurasini,Temeke,0.465676507,0.071206728,0.33036339,360,0.508568118,0.11125278,0.618069199,0.514509465
208,362,Keko Mwanga 'A',Keko,Temeke,0.388714485,0.369056095,0.184570069,361,0.259003172,0.57814745,0.595859453,0.542362479
209,363,Keko Magurumbasi 'A',Keko,Temeke,0.431790986,0.30494137,0.120031721,362,0.219526116,0.692362101,0.685203775,0.492915223
210,364,Keko Magurumbasi 'B',Keko,Temeke,0.259169289,0.502539589,0.231879461,363,0.218923634,0.702888056,0.641030782,0.438102296
211,365,Keko 'B',Keko,Temeke,0.345946863,0.375414497,0.308009516,364,0.209246478,0.627588364,0.773627325,0.468731846
212,366,Mivinjeni,Kurasini,Temeke,0.600407894,0.12362979,0.226256783,365,0.523172698,0.272721397,0.735559356,0.572106683
213,367,Kiungani,Kurasini,Temeke,0.45532775,0.08047579,0.206851705,366,0.464658971,0.159393347,0.468609943,0.445961976
214,368,Minazini,Kurasini,Temeke,0.38514836,0.143579515,0.345523603,367,0.350229447,0.399981868,0.785353312,0.524804581
215,369,Shimo la Udongo,Kurasini,Temeke,0.396804115,0.119097075,0.393021412,368,0.299041923,0.247581723,0.745352476,0.333479541
216,370,Mjimpya,Azimio,Temeke,0.212782811,0.605488017,0.056264869,369,0.111831542,0.505677457,0.711808896,0.374732446
217,371,Kichangani,Azimio,Temeke,0.109893316,0.741280924,0.141157811,370,0.170513605,0.511009432,0.59581125,0.332598362
218,372,Tambuka Reli,Azimio,Temeke,0.351806348,0.606897863,0.360005287,371,0.303203354,0.290874465,0.446121577,0.427019275
219,373,Azimio Kusini,Azimio,Temeke,0.221447334,0.740707966,0.179286281,372,0.223346348,0.515358719,0.485945272,0.377944185
220,374,Mamboleo B,Sandali,Temeke,0.217917077,0.525686275,0.202299762,373,0.147888718,0.231135591,0.768566667,0.347750945
221,375,Usalama,Sandali,Temeke,0.428583633,0.37412975,0.276939772,374,0.090815342,0.277233905,0.732055075,0.487292818
222,376,Veterinary,Sandali,Temeke,0.328095326,0.291694627,0.528382957,375,0.102183926,0.501882523,0.799854028,0.362534769
223,377,Chang'ombe A,Chang'ombe,Temeke,0.549984185,0.16477371,0.183752577,376,0.091989497,0.282126107,0.924213858,0.607042537
224,378,Toroli,Chang'ombe,Temeke,0.460249814,0.224701482,0.211485593,377,0.177312434,0.411881192,0.899080954,0.543094732
225,381,Bora,Chang'ombe,Temeke,0.299227288,0.126979593,0.385408406,380,0.172338933,0.522173381,0.7737535,0.500854316
226,382,Chang'ombe B,Chang'ombe,Temeke,0.261800771,0.141335763,0.252371134,381,0.108496098,0.394906108,0.711407636,0.398765889
227,388,Maweni,Mjimwema,Kigamboni,0.384043403,0.029948287,0.784533939,387,0.69027566,0.510222878,0.275893039,0.370493588
228,389,Mjimwema,Mjimwema,Kigamboni,0.350871482,0.02266998,0.730905468,388,0.733431289,0.489459089,0.213017216,0.196762223
229,390,Amana,Ilala,Ilala,0.428011195,0.433709344,0.402269261,389,0.167388175,0.508618236,0.840248941,0.611156868
230,393,Tungi,Tungi,Kigamboni,0.291646879,0.113388231,0.533973037,392,0.816047125,0.289057541,0.243273973,0.370388717
231,394,Muungano,Tungi,Kigamboni,0.555675708,0.071269942,0.425581108,393,0.704408815,0.23725134,0.283255521,0.3230507
232,395,Ungindoni,Mjimwema,Kigamboni,0.427031438,0.011771253,0.723212665,394,0.733431289,0.486917938,0.16148496,0.297441392
233,396,Magogoni,Tungi,Kigamboni,0.313103708,0.065888543,0.551966843,395,0.815847994,0.392335022,0.214415195,0.261439329
234,397,Misheni,Kijichi,Temeke,0.390634582,0.343281088,0.777939586,396,0.382007544,0.444393815,0.614603499,0.473158319
235,399,Mtoni Kijichi,Kijichi,Temeke,0.347868895,0.109504199,0.618585168,398,0.633011183,0.496720239,0.346649963,0.276124228
236,401,Mgeninani,Kijichi,Temeke,0.271056386,0.075342001,0.606135278,400,0.687412746,0.498281581,0.271795787,0.154494856
237,403,Butiama,Kijichi,Temeke,0.341184698,0.214802333,0.563395801,402,0.551191628,0.509258852,0.384256835,0.499885649
238,405,Mwanamtoti,Kijichi,Temeke,0.305239663,0.255126153,0.635028889,404,0.398263998,0.498202062,0.346826936,0.515490799
239,408,Migombani,Minazi Mirefu,Ilala,0.434427995,0.409962484,0.15682439,407,0.084593884,0.215274046,0.824438203,0.500615709
240,414,Muhale,Minazi Mirefu,Ilala,0.220671912,0.584439966,0.132402855,413,0.15877926,0.229665993,0.66501683,0.381808708
241,415,Kingungi,Kiburugwa,Temeke,0.303756647,0.39619097,0.489962615,414,0.733431289,0.320797699,0.063942533,0.371577588
242,416,Mnazi Mmoja,Manzese,Ubungo,0.335208459,0.599388424,0.183029342,415,0.074480386,0.553413318,0.691132309,0.450479353
243,417,Juhudi,Kiburugwa,Temeke,0.338652123,0.372916483,0.544615385,416,0.733431289,0.435879756,0.063942533,0.378817854
244,420,Mivinjeni,Buguruni,Ilala,0.405023342,0.487887454,0.506944602,419,0.125808038,0.554887023,0.630504492,0.373427749
245,422,Mashine ya Maji,Buza,Temeke,0.341505492,0.167092361,0.690711076,421,0.496282051,0.266331899,0.292027354,0.079875127
246,423,Kilakala,Kilakala,Temeke,0.173997797,0.687956867,0.155643669,422,0.157448566,0.131232118,0.269485952,0.427031589
247,424,Mjimpya,Buza,Temeke,0.192176357,0.257920869,0.415886862,423,0.733431289,0.445464615,0.26093911,0.389480906
248,425,Buza,Buza,Temeke,0.283869333,0.292717814,0.46119621,424,0.235745509,0.414018816,0.214128387,0.431016923
249,426,Kigunga,Kilakala,Temeke,0.279718144,0.696543908,0.365582871,425,0.165571589,0.476015392,0.212544846,0.424542963
